,um,reflectance,uncertainty
0,0.7025,0.002411,0.000198
1,0.7075,0.002444,0.000192
2,0.7125,0.002455,0.000157
3,0.7175,0.002511,0.000173
4,0.7225,0.00252,0.000202
5,0.7275,0.002476,0.000183
6,0.7325,0.002527,0.000125
7,0.7375,0.002424,0.000122
8,0.7425,0.002454,8.8e-05
9,0.7475,0.002506,9.3e-05
10,0.7525,0.002563,0.000113
11,0.7575,0.002588,0.000107
12,0.7625,0.002647,0.000115
13,0.7675,0.002627,0.000127
14,0.7725,0.00256,0.000104
15,0.7775,0.002655,0.000102
16,0.7825,0.002651,0.000134
17,0.7875,0.002592,9.5e-05
18,0.7925,0.002576,4.6e-05
19,0.7975,0.002592,7.9e-05
20,0.8025,0.002706,9.1e-05
21,0.8075,0.002749,7.2e-05
22,0.8125,0.002704,0.000102
23,0.8175,0.002691,9.2e-05
24,0.8225,0.002714,0.000145
25,0.8275,0.002722,0.000141
26,0.8325,0.002728,0.000129
27,0.8375,0.002739,0.000115
28,0.8425,0.002689,6.6e-05
29,0.8475,0.002708,9e-05
30,0.8525,0.002708,9e-05
31,0.8575,0.002736,7.6e-05
32,0.8625,0.002754,6.2e-05
33,0.8675,0.002743,7.2e-05
34,0.8725,0.002773,9e-05
35,0.8775,0.002804,0.00012
36,0.8825,0.002816,0.000123
37,0.8875,0.002836,0.000147
38,0.8925,0.002843,0.000157
39,0.8975,0.002832,0.000135
40,0.9025,0.002831,0.000142
41,0.9075,0.002858,0.000129
42,0.9125,0.002883,0.000123
43,0.9175,0.002924,0.000113
44,0.9225,0.002923,0.00011
45,0.9275,0.002891,0.000109
46,0.9325,0.002921,9.3e-05
47,0.9375,0.002933,9.1e-05
48,0.9425,0.002927,7.5e-05
49,0.9475,0.002899,4.5e-05
50,0.9525,0.002902,4.4e-05
51,0.9575,0.002917,7.3e-05
52,0.9625,0.00292,8.2e-05
53,0.9675,0.002937,9.1e-05
54,0.9725,0.002942,8.1e-05
55,0.9775,0.002934,7.3e-05
56,0.9825,0.002949,6.6e-05
57,0.9875,0.002972,6.6e-05
58,0.9925,0.002977,5.1e-05
59,0.9975,0.003002,5.1e-05
60,1.0025,0.003017,5.9e-05
61,1.0075,0.00305,7.3e-05
62,1.0125,0.003075,0.000122
63,1.0175,0.003085,0.000142
64,1.0225,0.003068,0.000121
65,1.0275,0.003071,0.000118
66,1.0325,0.003083,0.00011
67,1.0375,0.003093,9.5e-05
68,1.0425,0.003089,9.1e-05
69,1.0475,0.003086,9.4e-05
70,1.0525,0.003094,0.000108
71,1.0575,0.003075,9.6e-05
72,1.0625,0.003087,8.9e-05
73,1.0675,0.003082,9.6e-05
74,1.0725,0.003082,7.5e-05
75,1.0775,0.003076,6.8e-05
76,1.0825,0.003092,7e-05
77,1.0875,0.003108,7.9e-05
78,1.0925,0.00312,8.5e-05
79,1.0975,0.003125,9.4e-05
80,1.1025,0.00315,9.7e-05
81,1.1075,0.003166,0.000119
82,1.1125,0.003186,0.000102
83,1.1175,0.003208,0.00011
