,um,reflectance,uncertainty
0,0.7025,0.003495,6.8e-05
1,0.7075,0.003625,0.000105
2,0.7125,0.003584,4.1e-05
3,0.7175,0.003648,0.000132
4,0.7225,0.00365,0.000158
5,0.7275,0.003696,0.000153
6,0.7325,0.003802,0.000119
7,0.7375,0.003749,0.000214
8,0.7425,0.0037,0.000166
9,0.7475,0.003706,0.00014
10,0.7525,0.003812,9.8e-05
11,0.7575,0.003886,8.1e-05
12,0.7625,0.003896,7.8e-05
13,0.7675,0.003858,8e-05
14,0.7725,0.003813,7.2e-05
15,0.7775,0.00389,8.9e-05
16,0.7825,0.003863,7.3e-05
17,0.7875,0.003758,0.000146
18,0.7925,0.003706,0.00017
19,0.7975,0.003952,7.9e-05
20,0.8025,0.003966,7.9e-05
21,0.8075,0.004006,8.4e-05
22,0.8125,0.004042,8.2e-05
23,0.8175,0.004022,6.4e-05
24,0.8225,0.003936,5.4e-05
25,0.8275,0.003954,8.4e-05
26,0.8325,0.004038,7.3e-05
27,0.8375,0.004037,7.2e-05
28,0.8425,0.004027,5.8e-05
29,0.8475,0.004038,7e-05
30,0.8525,0.004061,7.5e-05
31,0.8575,0.00409,6.4e-05
32,0.8625,0.004089,7.1e-05
33,0.8675,0.004145,7.7e-05
34,0.8725,0.004141,5.8e-05
35,0.8775,0.004165,7.8e-05
36,0.8825,0.004112,7.6e-05
37,0.8875,0.004099,6.9e-05
38,0.8925,0.004121,7.8e-05
39,0.8975,0.00415,7.1e-05
40,0.9025,0.004207,8.4e-05
41,0.9075,0.004213,9.3e-05
42,0.9125,0.004215,7.8e-05
43,0.9175,0.004241,6.4e-05
44,0.9225,0.004235,8.2e-05
45,0.9275,0.004205,8.8e-05
46,0.9325,0.004166,6.2e-05
47,0.9375,0.004182,7e-05
48,0.9425,0.004229,6.6e-05
49,0.9475,0.004245,7.8e-05
50,0.9525,0.004251,8e-05
51,0.9575,0.00431,8.5e-05
52,0.9625,0.00431,5.3e-05
53,0.9675,0.004328,7.4e-05
54,0.9725,0.004312,7e-05
55,0.9775,0.004299,6.2e-05
56,0.9825,0.004347,8.3e-05
57,0.9875,0.004374,7.7e-05
58,0.9925,0.004375,8.4e-05
59,0.9975,0.004399,0.000102
60,1.0025,0.004448,8.9e-05
61,1.0075,0.004447,8.5e-05
62,1.0125,0.004443,7.9e-05
63,1.0175,0.004448,0.000111
64,1.0225,0.004471,0.000123
65,1.0275,0.004494,9.3e-05
66,1.0325,0.004533,8.9e-05
67,1.0375,0.004496,8.1e-05
68,1.0425,0.004468,5.8e-05
69,1.0475,0.004448,6.3e-05
70,1.0525,0.004495,5.6e-05
71,1.0575,0.004485,6.2e-05
72,1.0625,0.004511,6.7e-05
73,1.0675,0.004502,6.3e-05
74,1.0725,0.004518,6.2e-05
75,1.0775,0.004544,7.1e-05
76,1.0825,0.004591,7.7e-05
77,1.0875,0.004608,8.3e-05
78,1.0925,0.004603,7e-05
79,1.0975,0.004591,7.1e-05
80,1.1025,0.004611,5.2e-05
81,1.1075,0.004618,5.3e-05
82,1.1125,0.004645,5.4e-05
83,1.1175,0.004707,9.7e-05
84,1.1225,0.004706,0.000102
85,1.1275,0.004769,8.7e-05
86,1.1325,0.004722,9.2e-05
87,1.1375,0.004709,6.9e-05
88,1.1425,0.004706,7.3e-05
89,1.1475,0.004727,7.2e-05
90,1.1525,0.004767,8.1e-05
91,1.1575,0.004728,7.3e-05
92,1.1625,0.004722,7e-05
93,1.1675,0.004785,9.5e-05
94,1.1725,0.004782,9.8e-05
95,1.1775,0.004836,8e-05
96,1.1825,0.004859,0.000114
97,1.1875,0.004817,8.4e-05
98,1.1925,0.004873,8.2e-05
99,1.1975,0.00491,8.1e-05
100,1.2025,0.004886,8.8e-05
101,1.2075,0.004859,7.7e-05
102,1.2125,0.004874,0.000164
103,1.2175,0.004879,0.000115
104,1.2225,0.004903,9.1e-05
105,1.2275,0.004917,8.2e-05
106,1.2325,0.004937,9.2e-05
107,1.2375,0.004931,8.5e-05
108,1.2425,0.004929,7.7e-05
109,1.2475,0.004962,0.000113
110,1.2525,0.004951,0.000109
111,1.2575,0.004937,9.7e-05
112,1.2625,0.004976,0.000142
113,1.2675,0.005008,0.000123
114,1.2725,0.005018,9.1e-05
115,1.2775,0.00504,0.000122
116,1.2825,0.005036,0.000109
117,1.2875,0.005028,0.000111
118,1.2925,0.004997,0.000109
119,1.2975,0.005002,0.000104
120,1.3025,0.004983,6.8e-05
121,1.3075,0.005024,7e-05
122,1.3125,0.005037,5.8e-05
123,1.3175,0.005058,6.5e-05
124,1.3225,0.005096,8.1e-05
125,1.3275,0.005078,7.7e-05
126,1.3325,0.005058,7.8e-05
127,1.3375,0.005083,8.3e-05
128,1.3425,0.005091,9.6e-05
129,1.3475,0.005057,0.000103
130,1.3525,0.005003,0.00011
131,1.3575,0.005067,8.4e-05
132,1.3625,0.005067,8.3e-05
133,1.3675,0.005081,8.9e-05
134,1.3725,0.005109,7.1e-05
135,1.3775,0.005091,9e-05
136,1.3825,0.005122,0.000105
137,1.3875,0.005142,0.000111
138,1.3925,0.005143,0.000112
139,1.3975,0.005161,0.000108
140,1.4025,0.005151,9.4e-05
141,1.4075,0.005168,9.4e-05
142,1.4125,0.005183,9.4e-05
143,1.4175,0.005185,8.8e-05
144,1.4225,0.005141,7.1e-05
145,1.4275,0.005153,7.9e-05
146,1.4325,0.00514,8.3e-05
147,1.4375,0.005116,8.6e-05
148,1.4425,0.005104,0.000102
149,1.4475,0.005093,9.3e-05
150,1.4525,0.005116,9.3e-05
151,1.4575,0.005154,0.000101
152,1.4625,0.005104,8.5e-05
153,1.4675,0.00513,8.2e-05
154,1.4725,0.005126,8.6e-05
155,1.4775,0.005104,8.3e-05
156,1.4825,0.00511,9.7e-05
157,1.4875,0.005123,0.000112
158,1.4925,0.00514,9.5e-05
159,1.4975,0.005109,8.8e-05
160,1.5025,0.005103,7.9e-05
161,1.5075,0.0051,7.7e-05
162,1.5125,0.005113,7.5e-05
163,1.5175,0.005136,7.3e-05
164,1.5225,0.005121,8.1e-05
165,1.5275,0.005159,8.1e-05
166,1.5325,0.005146,7.7e-05
167,1.5375,0.005177,0.000108
168,1.5425,0.005186,8.4e-05
