Microns Throughput
0.398 0.0
0.399 0.0
0.4 0.0
0.401 0.0
0.402 0.0
0.403 0.0
0.404 0.0
0.405 0.0
0.406 0.0
0.407 0.0
0.408 0.0
0.409 0.0
0.41 0.0
0.411 0.0
0.412 0.0
0.413 0.0
0.414 0.0
0.415 0.0
0.416 0.0
0.417 0.0
0.418 0.0
0.419 0.0
0.42 0.0
0.421 0.0
0.422 0.0
0.423 0.0
0.424 0.0
0.425 0.0
0.426 0.0
0.427 0.0
0.428 0.0
0.429 0.0
0.43 0.0
0.431 0.0
0.432 0.0
0.433 0.0
0.434 0.0
0.435 0.0
0.436 0.0
0.437 0.0
0.438 0.0
0.439 0.0
0.44 0.0
0.441 0.0
0.442 0.0
0.443 0.0
0.444 0.0
0.445 0.0
0.446 0.0
0.447 0.0
0.448 0.0
0.449 0.0
0.45 0.0
0.451 0.0
0.452 0.0
0.453 0.0
0.454 0.0
0.455 0.0
0.456 0.0
0.457 0.0
0.458 0.0
0.459 0.0
0.46 0.0
0.461 0.0
0.462 0.0
0.463 0.0
0.464 0.0
0.465 0.0
0.466 0.0
0.467 0.0
0.468 0.0
0.469 0.0
0.47 0.0
0.471 0.0
0.472 0.0
0.473 0.0
0.474 0.0
0.475 0.0
0.476 0.0
0.477 0.0
0.478 0.0
0.479 0.0
0.48 0.0
0.481 0.0
0.482 0.0
0.483 0.0
0.484 0.0
0.485 0.0
0.486 0.0
0.487 0.0
0.488 0.0
0.489 0.0
0.49 0.0
0.491 0.0
0.492 0.0
0.493 0.0
0.494 0.0
0.495 0.0
0.496 0.0
0.497 0.0
0.498 0.0
0.499 0.0
0.5 0.0
0.501 0.0
0.502 0.0
0.503 0.0
0.504 0.0
0.505 0.0
0.506 0.0
0.507 0.0
0.508 0.0
0.509 0.0
0.51 0.0
0.511 0.0
0.512 0.0
0.513 0.0
0.514 0.0
0.515 0.0
0.516 0.0
0.517 0.0
0.518 0.0
0.519 0.0
0.52 0.0
0.521 0.0
0.522 0.0
0.523 0.0
0.524 0.0
0.525 2.2903749616814934e-07
0.526 9.691875983970345e-07
0.527 1.6819123376460974e-06
0.528 2.128687299545118e-06
0.529 2.1876453451527917e-06
0.53 2.017543365524191e-06
0.531 1.8822304787482867e-06
0.532 1.8422313886946103e-06
0.533 1.888114023846595e-06
0.534 1.9717229929034895e-06
0.535 2.260831964628801e-06
0.536 2.785718818787341e-06
0.537 3.6902721703238674e-06
0.538 5.090123557293829e-06
0.539 7.738041347975783e-06
0.54 1.2047360384259944e-05
0.541 1.7119208662681426e-05
0.542 1.9952919261423287e-05
0.543 1.904604141862134e-05
0.544 1.5182400358940536e-05
0.545 1.1013896308830983e-05
0.546 7.7966542370702e-06
0.547 5.956861378974273e-06
0.548 4.960799681004361e-06
0.549 4.463633067360179e-06
0.55 4.413915206112828e-06
0.551 4.7516453935121045e-06
0.552 5.2393989924598965e-06
0.553 5.891937136124508e-06
0.554 6.65580723548626e-06
0.555 7.377153571049233e-06
0.556 7.595558598621011e-06
0.557 7.682053872620146e-06
0.558 6.554415545876979e-06
0.559 4.609628405809716e-06
0.56 4.560671733690554e-06
0.561 5.160745189148273e-06
0.562 4.909793671936029e-06
0.563 4.562429446253947e-06
0.564 5.042852274364914e-06
0.565 5.735333950631059e-06
0.566 6.335450176346228e-06
0.567 6.4215275892645795e-06
0.568 6.730350404903233e-06
0.569 7.057727265807294e-06
0.57 6.9459749766187355e-06
0.571 7.324082506621545e-06
0.572 8.660332441597047e-06
0.573 1.0291850246981194e-05
0.574 1.1176477727882314e-05
0.575 1.2456259027652208e-05
0.576 1.499114286366621e-05
0.577 1.7176674874765487e-05
0.578 1.8052446039643794e-05
0.579 1.888233538021597e-05
0.58 2.092744704961207e-05
0.581 2.572807282494547e-05
0.582 3.466484146971372e-05
0.583 5.2027483995586646e-05
0.584 9.272145686694725e-05
0.585 0.000190523561493011
0.586 0.000353221643652092
0.587 0.000475630647721315
0.588 0.00044665484971212997
0.589 0.00029341331431755903
0.59 0.00015560223063816999
0.591 8.774450143524987e-05
0.592 6.11550179028667e-05
0.593 4.6928009968697e-05
0.594 3.910056525168086e-05
0.595 3.824263156180136e-05
0.596 3.581052020849736e-05
0.597 3.678235601344717e-05
0.598 3.9930183596415074e-05
0.599 4.1506066489275435e-05
0.6 4.503993062465028e-05
0.601 5.025679078251502e-05
0.602 5.8338984122317156e-05
0.603 7.117950004116018e-05
0.604 8.672193415587003e-05
0.605 0.000100610160459596
0.606 0.00011577795968592899
0.607 0.000129287522419778
0.608 0.000132969845982038
0.609 0.000128520093403701
0.61 0.00011849164342108598
0.611 0.000104890167803252
0.612 8.884407110020887e-05
0.613 7.558766653237842e-05
0.614 6.471505765914458e-05
0.615 5.820421915389012e-05
0.616 5.271978975765647e-05
0.617 4.972307911458136e-05
0.618 4.914808872055679e-05
0.619 4.581560375015541e-05
0.62 4.2629615068682856e-05
0.621 4.067701256245246e-05
0.622 4.5507065270514935e-05
0.623 4.893711618097416e-05
0.624 5.4495911193276484e-05
0.625 6.485538751842013e-05
0.626 8.018954335964042e-05
0.627 0.00010474489016779799
0.628 0.000146866654971373
0.629 0.000216307538055125
0.63 0.000322731311686006
0.631 0.00045568184804090696
0.632 0.000554817388447176
0.633 0.000560568380518317
0.634 0.00047702144090057603
0.635 0.00037101931417476497
0.636 0.000287988830231803
0.637 0.00024026143741585497
0.638 0.00021648397816054798
0.639 0.000209291947718835
0.64 0.000221198166777792
0.641 0.000244469877471587
0.642 0.000277783377677819
0.643 0.000312851363361116
0.644 0.00034130727000373097
0.645 0.00034544597462653
0.646 0.000315013342263052
0.647 0.000262698647068016
0.648 0.00020575354378834297
0.649 0.0001635942169333
0.65 0.00013276002492944297
0.651 0.00010942123167686099
0.652 9.464371145882064e-05
0.653 9.114043006727457e-05
0.654 9.013202566779509e-05
0.655 9.290196507845075e-05
0.656 0.000100383214889067
0.657 0.000117988286429397
0.658 0.000139163826905621
0.659 0.00016766511078368298
0.66 0.000201881754383025
0.661 0.00023741142143539302
0.662 0.000250753667160878
0.663 0.00023917220407922298
0.664 0.000214064350183896
0.665 0.00018827480943881499
0.666 0.00016209465835670698
0.667 0.00013992010243509199
0.668 0.000129472987659535
0.669 0.000123809728923866
0.67 0.000122578212526371
0.671 0.00012360900839575097
0.672 0.000137081095262438
0.673 0.000158781594883909
0.674 0.000188545859903454
0.675 0.000216788765824162
0.676 0.00024398683529873198
0.677 0.00026042828708953795
0.678 0.000266892166983194
0.679 0.000255249932702751
0.68 0.000227787684636683
0.681 0.00018928045112997
0.682 0.00015987086909197598
0.683 0.000149446055906325
0.684 0.00014435549663731697
0.685 0.000138652058947417
0.686 0.000134249879863007
0.687 0.000138292604120706
