Microns Throughput
0.398 0.0
0.399 0.0
0.4 0.0
0.401 0.0
0.402 0.0
0.403 0.0
0.404 0.0
0.405 0.0
0.406 0.0
0.407 0.0
0.408 0.0
0.409 0.0
0.41 0.0
0.411 0.0
0.412 0.0
0.413 0.0
0.414 0.0
0.415 0.0
0.416 0.0
0.417 0.0
0.418 0.0
0.419 0.0
0.42 0.0
0.421 0.0
0.422 0.0
0.423 0.0
0.424 0.0
0.425 0.0
0.426 0.0
0.427 0.0
0.428 0.0
0.429 0.0
0.43 0.0
0.431 0.0
0.432 0.0
0.433 0.0
0.434 0.0
0.435 0.0
0.436 0.0
0.437 0.0
0.438 0.0
0.439 0.0
0.44 0.0
0.441 0.0
0.442 0.0
0.443 0.0
0.444 0.0
0.445 0.0
0.446 0.0
0.447 0.0
0.448 0.0
0.449 0.0
0.45 0.0
0.451 0.0
0.452 0.0
0.453 0.0
0.454 0.0
0.455 0.0
0.456 0.0
0.457 0.0
0.458 0.0
0.459 0.0
0.46 0.0
0.461 0.0
0.462 0.0
0.463 0.0
0.464 0.0
0.465 0.0
0.466 0.0
0.467 0.0
0.468 0.0
0.469 0.0
0.47 0.0
0.471 0.0
0.472 0.0
0.473 0.0
0.474 0.0
0.475 0.0
0.476 0.0
0.477 0.0
0.478 0.0
0.479 0.0
0.48 0.0
0.481 0.0
0.482 0.0
0.483 0.0
0.484 0.0
0.485 0.0
0.486 0.0
0.487 0.0
0.488 0.0
0.489 0.0
0.49 0.0
0.491 0.0
0.492 0.0
0.493 0.0
0.494 0.0
0.495 0.0
0.496 0.0
0.497 0.0
0.498 0.0
0.499 0.0
0.5 0.0
0.501 0.0
0.502 0.0
0.503 0.0
0.504 0.0
0.505 0.0
0.506 0.0
0.507 0.0
0.508 0.0
0.509 0.0
0.51 0.0
0.511 0.0
0.512 0.0
0.513 0.0
0.514 0.0
0.515 0.0
0.516 0.0
0.517 0.0
0.518 0.0
0.519 0.0
0.52 0.0
0.521 0.0
0.522 0.0
0.523 0.0
0.524 0.0
0.525 2.442496447677175e-07
0.526 1.0335588302448117e-06
0.527 1.7936211226257228e-06
0.528 2.2700698594510308e-06
0.529 2.3329437641033123e-06
0.53 2.15154399859038e-06
0.531 2.007243938205311e-06
0.532 1.964588199734131e-06
0.533 2.0135182549625185e-06
0.534 2.102680341228729e-06
0.535 2.410991272078346e-06
0.536 2.970739915057514e-06
0.537 3.935371639044065e-06
0.538 5.4281979653674735e-06
0.539 8.251984422032929e-06
0.54 1.284751860928423e-05
0.541 1.825622749339959e-05
0.542 2.127814669307981e-05
0.543 2.0311036090414686e-05
0.544 1.6190780795429338e-05
0.545 1.1745414204866522e-05
0.546 8.314490245662835e-06
0.547 6.352502538173196e-06
0.548 5.290284691898498e-06
0.549 4.760097404643971e-06
0.55 4.707077396342095e-06
0.551 5.065696599665311e-06
0.552 5.583988493666303e-06
0.553 6.277534788240752e-06
0.554 7.089242482613153e-06
0.555 7.855178954571436e-06
0.556 8.085283121019536e-06
0.557 8.17487663202977e-06
0.558 6.972784887925421e-06
0.559 4.9023773838822344e-06
0.56 4.848844484175588e-06
0.561 5.485176003271323e-06
0.562 5.21687214731942e-06
0.563 4.846319081498403e-06
0.564 5.3550196869076805e-06
0.565 6.088532236971502e-06
0.566 6.723579488934448e-06
0.567 6.812878942896637e-06
0.568 7.138374711499913e-06
0.569 7.4833485717489805e-06
0.57 7.362644747910306e-06
0.571 7.761103569014656e-06
0.572 9.174333528911546e-06
0.573 1.0899415799577015e-05
0.574 1.1832720644623787e-05
0.575 1.3183698675704916e-05
0.576 1.586187249066956e-05
0.577 1.816891409459579e-05
0.578 1.908957182879859e-05
0.579 1.996117883782214e-05
0.58 2.211653911007834e-05
0.581 2.718183054033928e-05
0.582 3.661265993520284e-05
0.583 5.493455333912115e-05
0.584 9.7873207450916e-05
0.585 0.000201049573986132
0.586 0.00037262565764816
0.587 0.000501610192697068
0.588 0.000470911980709516
0.589 0.000309256444001884
0.59 0.00016395554341958401
0.591 9.242759093128801e-05
0.592 6.439992295738984e-05
0.593 4.940341904935529e-05
0.594 4.1150926030282706e-05
0.595 4.023612474033445e-05
0.596 3.7666120950854694e-05
0.597 3.867691190808826e-05
0.598 4.197450917821195e-05
0.599 4.361823211931865e-05
0.6 4.731800740643182e-05
0.601 5.278321404644748e-05
0.602 6.125370684477345e-05
0.603 7.471382517088381e-05
0.604 9.100130279937216e-05
0.605 0.00010554391573376401
0.606 0.00012141995012554401
0.607 0.000135548170149128
0.608 0.00013936803934956003
0.609 0.000134664811125288
0.61 0.000124120631506436
0.611 0.00010984095095061601
0.612 9.3010353711244e-05
0.613 7.910924049756504e-05
0.614 6.7710362865556e-05
0.615 6.088045349836595e-05
0.616 5.512781564618697e-05
0.617 5.197912009313534e-05
0.618 5.1363123582317295e-05
0.619 4.786655614165155e-05
0.62 4.45250324977322e-05
0.621 4.247330337450717e-05
0.622 4.750289366662103e-05
0.623 5.1068599403218696e-05
0.624 5.685306988744484e-05
0.625 6.764108705109758e-05
0.626 8.360973922933567e-05
0.627 0.000109180900867424
0.628 0.000153042418754928
0.629 0.000225338371727332
0.63 0.000336108558424364
0.631 0.00047443340260556
0.632 0.000577482388911088
0.633 0.0005833007297879441
0.634 0.00049622330255952
0.635 0.000385843506700128
0.636 0.000299409678319412
0.637 0.000249718010050124
0.638 0.00022494028884688003
0.639 0.000217405132399044
0.64 0.000229707233274712
0.641 0.00025380166543838
0.642 0.00028830450098004
0.643 0.000324608109979288
0.644 0.000354032465334576
0.645 0.00035822345080602
0.646 0.000326572222787024
0.647 0.000272260499527988
0.648 0.00021318209331192803
0.649 0.000169452520648388
0.65 0.00013747514600162002
0.651 0.00011327532886228001
0.652 9.79495520526e-05
0.653 9.429720360590401e-05
0.654 9.322749419044401e-05
0.655 9.6065403078248e-05
0.656 0.000103772081732512
0.657 0.000121937063600792
0.658 0.00014378073581503201
0.659 0.00017317876150162802
0.66 0.00020846189433958
0.661 0.000245080630465764
0.662 0.000258781088175952
0.663 0.000246759509675468
0.664 0.00022079314266619602
0.665 0.000194138460984684
0.666 0.000167096091245672
0.667 0.00014419692984980002
0.668 0.000133393132421628
0.669 0.00012752271964082
0.67 0.000126218978134552
0.671 0.000127244837270128
0.672 0.00014107380378108802
0.673 0.000163360789332948
0.674 0.00019392937891731999
0.675 0.00022291660066340002
0.676 0.000250813642608172
0.677 0.000267640682724308
0.678 0.00027420735869528403
0.679 0.00026217320719769605
0.68 0.000233901169845612
0.681 0.000194306571686396
0.682 0.000164070584730068
0.683 0.00015332945819014003
0.684 0.00014806564797043999
0.685 0.00014217631135892802
0.686 0.00013762421298062002
0.687 0.000141729420220796
0.688 0.00014942178207324802
